X,Y,Z
8.90018,-9.00358,-35.8247
8.40244,-9.01273,-35.3321
8.65934,-9.01427,-35.5374
8.41021,-9.01245,-35.3276
8.66707,-9.01398,-35.533
8.89279,-9.01298,-35.8312
8.89988,-9.01271,-35.826
8.40904,-8.91314,-35.3214
8.40978,-8.90405,-35.322
8.71718,-8.91435,-35.5316
8.71823,-8.90523,-35.5319
8.41686,-8.91287,-35.317
8.72496,-8.91407,-35.5272
8.41761,-8.90378,-35.3176
8.72602,-8.90495,-35.5275
8.71718,-8.91435,-35.5316
8.71823,-8.90523,-35.5319
8.95674,-8.90751,-35.9519
8.95813,-8.89835,-35.9519
8.72496,-8.91407,-35.5272
8.96451,-8.90721,-35.9476
8.72602,-8.90495,-35.5275
8.9659,-8.89805,-35.9476
8.40978,-8.90405,-35.322
8.41761,-8.90378,-35.3176
8.71823,-8.90523,-35.5319
8.72602,-8.90495,-35.5275
8.95813,-8.89835,-35.9519
8.9659,-8.89805,-35.9476
8.40904,-8.91314,-35.3214
8.71718,-8.91435,-35.5316
8.41686,-8.91287,-35.317
8.72496,-8.91407,-35.5272
8.95674,-8.90751,-35.9519
8.96451,-8.90721,-35.9476
8.51198,-8.06315,-35.249
8.59059,-8.07976,-35.3613
8.53026,-8.19873,-35.2479
8.60769,-8.19557,-35.3612
8.51198,-8.06315,-35.249
8.53026,-8.19873,-35.2479
8.59059,-8.07976,-35.3613
8.60769,-8.19557,-35.3612
9.33327,-9.15969,-36.5939
9.35795,-8.99344,-36.588
9.54831,-9.14861,-36.8862
9.56537,-9.01657,-36.881
9.36717,-9.43504,-36.5877
9.51435,-9.41146,-36.8966
9.72075,-9.41758,-37.1679
9.70822,-9.01046,-37.1678
8.74113,-9.40015,-35.5883
8.5353,-9.43377,-35.4053
8.71076,-9.17705,-35.5376
8.44984,-9.17743,-35.4295
8.65975,-9.01128,-35.5374
8.46418,-9.00907,-35.4393
8.94339,-9.41691,-35.8347
8.74113,-9.40015,-35.5883
8.89263,-9.15276,-35.8232
8.71076,-9.17705,-35.5376
8.8941,-9.00854,-35.8251
8.65975,-9.01128,-35.5374
8.99529,-8.03916,-35.906
9.16473,-8.01929,-36.1586
9.0002,-8.16986,-35.919
9.16236,-8.16943,-36.1723
9.30115,-8.04759,-36.3655
9.30157,-8.17949,-36.4004
9.74904,-8.25305,-37.0972
9.55707,-8.21708,-36.7944
9.76902,-8.14433,-37.0696
9.56803,-8.09735,-36.7671
9.39435,-8.189,-36.5379
9.39998,-8.06184,-36.5137
8.92576,-8.1758,-35.8051
8.74195,-8.17512,-35.5232
8.91854,-8.04807,-35.7938
8.72524,-8.06774,-35.51
8.60769,-8.19557,-35.3612
8.59059,-8.07976,-35.3613
8.53026,-8.19873,-35.2479
8.60769,-8.19557,-35.3612
8.54249,-8.47786,-35.3062
8.61171,-8.47647,-35.425
8.48265,-8.82332,-35.4458
8.41685,-8.82416,-35.3246
8.40274,-9.00975,-35.3322
8.46418,-9.00907,-35.4393
8.44984,-9.17743,-35.4295
8.42284,-9.17722,-35.3251
8.5353,-9.43377,-35.4053
8.4682,-9.43403,-35.2884
9.36717,-9.43504,-36.5877
9.30553,-9.43542,-36.4658
9.33327,-9.15969,-36.5939
9.25912,-9.15425,-36.4731
9.27704,-8.98964,-36.473
9.35795,-8.99344,-36.588
9.33205,-8.7942,-36.5901
9.30166,-8.79403,-36.4651
9.38439,-8.43394,-36.5694
9.30614,-8.43081,-36.4536
9.39435,-8.189,-36.5379
9.30157,-8.17949,-36.4004
9.39998,-8.06184,-36.5137
9.30115,-8.04759,-36.3655
9.00488,-9.42665,-35.945
8.94339,-9.41691,-35.8347
8.95206,-9.14326,-35.9479
8.89263,-9.15276,-35.8232
8.8941,-9.00854,-35.8251
8.952,-9.00706,-35.9474
8.90016,-8.79722,-35.8343
8.96404,-8.79588,-35.9509
9.00522,-8.42877,-35.9029
8.94266,-8.43161,-35.8223
8.92576,-8.1758,-35.8051
9.0002,-8.16986,-35.919
8.99529,-8.03916,-35.906
8.91854,-8.04807,-35.7938
9.78245,-9.43323,-37.2858
9.72075,-9.41758,-37.1679
9.77876,-9.18019,-37.2833
9.71313,-9.16349,-37.1694
9.77854,-9.0083,-37.2812
9.70476,-9.00997,-37.1703
9.75306,-8.80446,-37.2887
9.69557,-8.79411,-37.1761
9.76856,-8.51831,-37.2416
9.72926,-8.52804,-37.1015
9.83235,-8.15843,-37.1869
9.76802,-8.14811,-37.0678
8.51198,-8.06315,-35.249
8.53026,-8.19873,-35.2479
8.59059,-8.07976,-35.3613
8.60769,-8.19557,-35.3612
8.51198,-8.06315,-35.249
8.59059,-8.07976,-35.3613
8.53026,-8.19873,-35.2479
8.60769,-8.19557,-35.3612
9.74904,-8.25305,-37.0972
9.76902,-8.14433,-37.0696
9.55707,-8.21708,-36.7944
9.56803,-8.09735,-36.7671
9.39435,-8.189,-36.5379
9.39998,-8.06184,-36.5137
8.92576,-8.17581,-35.8051
8.91855,-8.04807,-35.7938
8.74195,-8.17512,-35.5232
8.72524,-8.06774,-35.51
8.60769,-8.19557,-35.3612
8.59059,-8.07976,-35.3613
8.99529,-8.03916,-35.906
9.0002,-8.16987,-35.919
9.16473,-8.01929,-36.1586
9.16236,-8.16943,-36.1723
9.30115,-8.04759,-36.3655
9.30157,-8.17949,-36.4004
8.94339,-9.41691,-35.8347
8.89263,-9.15276,-35.8232
8.74113,-9.40015,-35.5883
8.71076,-9.17705,-35.5376
